file,level,method,metric,value_v1,value_v2,absolute_difference,reported_v1,reported_v2,changes_at_reported_precision
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Biologically constrained latent SCM,accuracy,0.819184,0.819184,0.0,81.9,81.9,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Biologically constrained latent SCM,adjusted_rand_index,0.4076533627840259,0.4076533627840259,0.0,0.408,0.408,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Biologically constrained latent SCM,brier_score,0.1270466841005382,0.1270466841005382,0.0,0.127,0.127,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Biologically constrained latent SCM,expected_calibration_error,0.0460389161217518,0.0460389161217518,0.0,0.046,0.046,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Biologically constrained latent SCM,false_atrial_renal_competing,0.1818179890341936,0.1818179890341936,0.0,18.2,18.2,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Biologically constrained latent SCM,mean_posterior_entropy,0.3728649290488394,0.3728649290488395,1.1102230246251565e-16,,,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Biologically constrained latent SCM,predicted_atrial_prevalence,0.499706,0.499706,0.0,50.0,50.0,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Data-generating oracle (reference),accuracy,0.8265459999999999,0.8265459999999999,0.0,82.7,82.7,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Data-generating oracle (reference),adjusted_rand_index,0.4265368797853229,0.4265368797853229,0.0,0.427,0.427,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Data-generating oracle (reference),brier_score,0.1219502028614101,0.1219502028614101,0.0,0.122,0.122,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Data-generating oracle (reference),expected_calibration_error,0.0275501200118443,0.0275501200118443,0.0,0.0276,0.0276,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Data-generating oracle (reference),false_atrial_renal_competing,0.1733261361369873,0.1733261361369873,0.0,17.3,17.3,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Data-generating oracle (reference),mean_posterior_entropy,0.38193789651607,0.38193789651607,0.0,,,False
