repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
299,Renal-adjusted associative latent class model,1.5,6889.341609852689,6922.562183997979,33.22057414529081,False,True,0.4549909896898307
299,Biologically constrained latent SCM,1.5,6876.585345281562,6909.381615143693,32.79626986213134,False,True,0.3732802339134568
300,Associative latent class model,1.5,8063.307511470645,7762.929937909425,-300.37757356122074,True,True,0.3081418260382027
300,Renal-adjusted associative latent class model,1.5,6804.726101257404,6834.000327853874,29.274226596470726,False,True,0.4826432952193349
300,Biologically constrained latent SCM,1.5,6793.394038410167,6820.63166456002,27.237626149852986,False,True,0.49038018257390875
301,Associative latent class model,1.5,8095.181777623535,7790.313803851388,-304.8679737721468,True,True,0.293347502238797
301,Renal-adjusted associative latent class model,1.5,6790.725189772375,6821.809434389921,31.084244617545664,False,True,0.4160794593182134
301,Biologically constrained latent SCM,1.5,6778.555630618244,6805.563314875515,27.00768425727074,False,True,0.478761446825605
302,Associative latent class model,1.5,8184.237457582478,7892.377406449086,-291.8600511333916,True,True,0.29009887419722596
302,Renal-adjusted associative latent class model,1.5,6887.169501371458,6919.010426948216,31.84092557675831,False,True,0.4963784789255579
302,Biologically constrained latent SCM,1.5,6877.009553250929,6897.398204139428,20.388650888499797,False,True,0.2629705636702286
303,Associative latent class model,1.5,8106.659297269713,7778.45922374485,-328.200073524863,True,True,0.3035408824414532
303,Renal-adjusted associative latent class model,1.5,6767.751063307141,6790.725059252124,22.97399594498347,False,True,0.3929064161595845
303,Biologically constrained latent SCM,1.5,6758.64918850521,6782.26897877133,23.619790266119708,False,True,0.408398483822495
304,Associative latent class model,1.5,8237.381371712601,7904.38429132708,-332.99708038552126,True,True,0.33659684595495504
304,Renal-adjusted associative latent class model,1.5,6872.283422458357,6900.018126959685,27.73470450132845,False,True,0.4989271739109434
304,Biologically constrained latent SCM,1.5,6862.112170441434,6887.189261601441,25.077091160007512,False,True,0.36454229517399994
305,Associative latent class model,1.5,8121.583810594505,7873.189014328335,-248.39479626616958,True,True,0.29818867066466526
305,Renal-adjusted associative latent class model,1.5,6891.429141066101,6913.293752132193,21.86461106609204,False,True,0.45583800884592096
305,Biologically constrained latent SCM,1.5,6878.366910640428,6900.121846928194,21.754936287766213,False,True,0.4695910721228116
306,Associative latent class model,1.5,8076.149295963802,7841.662310044043,-234.4869859197588,True,True,0.3126930884602536
306,Renal-adjusted associative latent class model,1.5,6855.282973593998,6885.0757640754455,29.79279048144781,False,True,0.3241251839970608
306,Biologically constrained latent SCM,1.5,6842.349266538587,6875.4021145572015,33.052848018614895,False,True,0.3686428633468304
307,Associative latent class model,1.5,8195.623608142094,7907.875485914098,-287.74812222799574,True,True,0.2992935854109948
307,Renal-adjusted associative latent class model,1.5,6904.549247945856,6934.145708705161,29.596460759305046,False,True,0.49709603813788944
307,Biologically constrained latent SCM,1.5,6892.653618493522,6921.937071263224,29.283452769702308,False,True,0.49341433279989866
308,Associative latent class model,1.5,8261.591863451393,7981.598081851354,-279.99378160003835,True,True,0.3444813214053815
308,Renal-adjusted associative latent class model,1.5,6990.251569619527,7019.627089642863,29.37552002333632,False,True,0.44675717993742814
308,Biologically constrained latent SCM,1.5,6977.485745266673,7007.459942712434,29.974197445761092,False,True,0.36671748176286256
309,Associative latent class model,1.5,8101.6417613001395,7859.254536753133,-242.38722454700655,True,True,0.32163379283037086
309,Renal-adjusted associative latent class model,1.5,6840.461444136005,6865.319601367374,24.85815723136875,False,True,0.44385053268698493
309,Biologically constrained latent SCM,1.5,6827.478747581653,6860.370793287805,32.8920457061522,False,True,0.49281260844851615
310,Associative latent class model,1.5,8119.204860069543,7790.51820652132,-328.68665354822315,True,True,0.29431262900605143
310,Renal-adjusted associative latent class model,1.5,6816.607100492953,6837.3687652166955,20.761664723742797,False,True,0.3433043207068519
