repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
8,0.0,Biologically constrained latent SCM,0.833,0.4429981867907079,0.1276595744680851,0.12113378691101284,0.044830338979268386,0.36304174109144816,0.476,141
8,0.0,Data-generating oracle (reference),0.839,0.45914374794772483,0.1347517730496454,0.11687193591067294,0.030557251656505025,0.38306905658597135,0.5,141
9,0.0,Associative latent class model,0.853,0.49793374080261926,0.152317880794702,0.10759944386735744,0.03353243434574993,0.3332438066549886,0.489,151
9,0.0,Renal-adjusted associative latent class model,0.856,0.5064503709761818,0.1986754966887417,0.10917999393850591,0.0368317554818523,0.3289655942940732,0.486,151
9,0.0,Biologically constrained latent SCM,0.854,0.5007647736969644,0.18543046357615894,0.10801977416901606,0.03573619882703216,0.3314288273513232,0.484,151
9,0.0,Data-generating oracle (reference),0.866,0.5353594618893146,0.17218543046357615,0.10537000067974978,0.041019369706372495,0.376826213016133,0.518,151
10,0.0,Associative latent class model,0.824,0.4193234707475206,0.14388489208633093,0.12244455402460867,0.030484495487077407,0.38915759967238955,0.518,139
10,0.0,Renal-adjusted associative latent class model,0.824,0.419324172007542,0.14388489208633093,0.12331706466279861,0.03865331337176199,0.3879805352860123,0.526,139
10,0.0,Biologically constrained latent SCM,0.826,0.4245286746312103,0.14388489208633093,0.12212570280545228,0.02886547731529558,0.3894462286325516,0.518,139
10,0.0,Data-generating oracle (reference),0.827,0.42714265376044225,0.14388489208633093,0.12104620718180158,0.014965065016242098,0.383111213730248,0.499,139
11,0.0,Associative latent class model,0.822,0.41415073975576877,0.20481927710843373,0.12449310817887045,0.03437997239582394,0.35672687069310544,0.505,166
11,0.0,Renal-adjusted associative latent class model,0.82,0.4090096460841287,0.1566265060240964,0.1252172437223719,0.0361018412414337,0.3551327286010638,0.497,166
11,0.0,Biologically constrained latent SCM,0.821,0.41157606512493156,0.2289156626506024,0.12471708167913773,0.03331792805885909,0.3568950437122,0.508,166
11,0.0,Data-generating oracle (reference),0.824,0.4193239700584585,0.19879518072289157,0.12314370909300207,0.02945705885998234,0.37767559293961867,0.501,166
12,0.0,Associative latent class model,0.832,0.44033847628246314,0.13291139240506328,0.12014908032275708,0.03715346041963313,0.348535703283137,0.45,158
12,0.0,Renal-adjusted associative latent class model,0.832,0.44033847628246314,0.13291139240506328,0.12025846414600297,0.04047319130265837,0.3472831744690865,0.45,158
12,0.0,Biologically constrained latent SCM,0.829,0.43239866412412026,0.14556962025316456,0.12110580485088739,0.03543013628738491,0.34850623993867724,0.449,158
12,0.0,Data-generating oracle (reference),0.833,0.4429994524036878,0.13924050632911392,0.11802066523875158,0.017855247306991597,0.37207692178852153,0.473,158
13,0.0,Associative latent class model,0.84,0.4618616789510945,0.17532467532467533,0.12074949319904865,0.03970562609197518,0.39779516603328713,0.479,154
13,0.0,Renal-adjusted associative latent class model,0.837,0.4537293156066083,0.15584415584415584,0.12046603696457613,0.04176225215979398,0.39611848221063084,0.474,154
13,0.0,Biologically constrained latent SCM,0.841,0.4645879692709243,0.12337662337662338,0.12046985825765442,0.04715619017269186,0.3984354715351317,0.47,154
13,0.0,Data-generating oracle (reference),0.831,0.43768192784828513,0.14935064935064934,0.11897648967888168,0.03365247964986399,0.3819485116740775,0.502,154
