repeat,atrial_probability_if_renal_impaired,renal_effect_sd,method,fitted_prior_atrial_given_renal,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
152,0.7,1.5,Data-generating oracle (reference),,0.82,0.40885844271844574,0.4158415841584158,0.1253276669040937,0.02798005047305635,0.38340094464382846,0.582,101
153,0.7,1.5,Associative latent class model,,0.62,0.05522255877849086,0.7764705882352941,0.3052116470067383,0.309042566161591,0.19900672750954507,0.307,85
153,0.7,1.5,Renal-adjusted associative latent class model,0.7599531765595523,0.825,0.4217270510773072,0.36470588235294116,0.12024372964423759,0.03071513321364227,0.3516761454369921,0.592,85
153,0.7,1.5,Biologically constrained latent SCM,0.7702865430129753,0.828,0.4295514155831398,0.36470588235294116,0.12106712771183012,0.04247071853025129,0.34931078252823317,0.597,85
153,0.7,1.5,Data-generating oracle (reference),,0.833,0.44289902847082535,0.2823529411764706,0.1166240348134407,0.017915318985236753,0.3604750396395546,0.568,85
154,0.7,1.5,Associative latent class model,,0.61,0.04495515841882114,0.7790697674418605,0.31646914064952203,0.3159871170170838,0.19285718852397915,0.315,86
154,0.7,1.5,Renal-adjusted associative latent class model,0.7085880964991502,0.821,0.4110786262698377,0.29069767441860467,0.11758921735505458,0.03530518428322326,0.3585633170258341,0.606,86
154,0.7,1.5,Biologically constrained latent SCM,0.726752922337075,0.824,0.41878443886276834,0.32558139534883723,0.11721898232117263,0.0336058489287782,0.35554557763231254,0.611,86
154,0.7,1.5,Data-generating oracle (reference),,0.828,0.4295032425732751,0.29069767441860467,0.11546406950083546,0.022689155402514902,0.3760542604691505,0.579,86
155,0.7,1.5,Associative latent class model,,0.641,0.07765446762738579,0.6902654867256637,0.2788289993426391,0.26656849715045283,0.2316750609701362,0.376,113
155,0.7,1.5,Renal-adjusted associative latent class model,0.6840879476568165,0.832,0.4402879901079727,0.26548672566371684,0.12260531388225338,0.03943834948487164,0.341789523618498,0.539,113
155,0.7,1.5,Biologically constrained latent SCM,0.6283508831683872,0.841,0.46453946233327015,0.1504424778761062,0.11788788199650276,0.041999632289201776,0.353441896627816,0.54,113
